name,team,level,age,playerid,playeridlevel,date,playeridunique
Ryan Grotjohn,KCR,AA,27,sa3003964,sa3003964-AA,2022-06-01,sa3003964-AA-2022-06-01-KCR
Chandler Seagle,SDP,AA,26,sa3003969,sa3003969-AA,2022-06-01,sa3003969-AA-2022-06-01-SDP
Alex Destino,CHW,AA,26,sa3004031,sa3004031-AA,2022-06-01,sa3004031-AA-2022-06-01-CHW
Jeremy Arocho,LAA,A,23,sa3004046,sa3004046-A,2022-06-01,sa3004046-A-2022-06-01-LAA
Tirso Ornelas,SDP,AA,22,sa3004048,sa3004048-AA,2022-06-01,sa3004048-AA-2022-06-01-SDP
Lenyn Sosa,CHW,AA,22,sa3004051,sa3004051-AA,2022-06-01,sa3004051-AA-2022-06-01-CHW
Miguel Perez,SEA,AAA,21,sa3004053,sa3004053-AAA,2022-06-01,sa3004053-AAA-2022-06-01-SEA
Austin Beck,OAK,A+,23,sa3004055,sa3004055-A+,2022-06-01,sa3004055-A+-2022-06-01-OAK
David Banuelos,MIN,AAA,25,sa3004056,sa3004056-AAA,2022-06-01,sa3004056-AAA-2022-06-01-MIN
Marcus Chiu,MIA,A+,25,sa3004060,sa3004060-A+,2022-06-01,sa3004060-A+-2022-06-01-MIA
Connor Hoover,SEA,AA,25,sa3004061,sa3004061-AA,2022-06-01,sa3004061-AA-2022-06-01-SEA
Jancarlos Cintron,ARI,AAA,27,sa3004065,sa3004065-AAA,2022-06-01,sa3004065-AAA-2022-06-01-ARI
Jancarlos Cintron,ARI,AA,27,sa3004065,sa3004065-AA,2022-06-01,sa3004065-AA-2022-06-01-ARI
Robbie Podorsky,SDP,AA,27,sa3004066,sa3004066-AA,2022-06-01,sa3004066-AA-2022-06-01-SDP
Chris Roller,CLE,AA,25,sa3004068,sa3004068-AA,2022-06-01,sa3004068-AA-2022-06-01-CLE
Chris Roller,CLE,AAA,25,sa3004068,sa3004068-AAA,2022-06-01,sa3004068-AAA-2022-06-01-CLE
Laz Rivera,CHW,AAA,27,sa3004128,sa3004128-AAA,2022-06-01,sa3004128-AAA-2022-06-01-CHW
Nick Pratto,KCR,AAA,23,sa3004138,sa3004138-AAA,2022-06-01,sa3004138-AAA-2022-06-01-KCR
Bubba Thompson,TEX,AAA,24,sa3004140,sa3004140-AAA,2022-06-01,sa3004140-AAA-2022-06-01-TEX
Jeisson Rosario,NYY,AA,22,sa3004146,sa3004146-AA,2022-06-01,sa3004146-AA-2022-06-01-NYY
Johnathan Rodriguez,CLE,A+,22,sa3004147,sa3004147-A+,2022-06-01,sa3004147-A+-2022-06-01-CLE
Jordy Barley,WSN,A+,22,sa3004148,sa3004148-A+,2022-06-01,sa3004148-A+-2022-06-01-WSN
Agustin Ruiz,SDP,AA,22,sa3004149,sa3004149-AA,2022-06-01,sa3004149-AA-2022-06-01-SDP
Agustin Ruiz,SDP,A+,22,sa3004149,sa3004149-A+,2022-06-01,sa3004149-A+-2022-06-01-SDP
Blake Hunt,TBR,AA,23,sa3004153,sa3004153-AA,2022-06-01,sa3004153-AA-2022-06-01-TBR
Cody Bohanek,NYM,AAA,26,sa3004157,sa3004157-AAA,2022-06-01,sa3004157-AAA-2022-06-01-NYM
Jake Scheiner,SEA,AA,26,sa3004160,sa3004160-AA,2022-06-01,sa3004160-AA-2022-06-01-SEA
Tyreque Reed,BOS,AA,25,sa3004163,sa3004163-AA,2022-06-01,sa3004163-AA-2022-06-01-BOS
Bligh Madris,PIT,AAA,26,sa3004165,sa3004165-AAA,2022-06-01,sa3004165-AAA-2022-06-01-PIT
JJ Muno,CHW,AA,28,sa3004176,sa3004176-AA,2022-06-01,sa3004176-AA-2022-06-01-CHW
Matthew Batten,SDP,AAA,27,sa3004179,sa3004179-AAA,2022-06-01,sa3004179-AAA-2022-06-01-SDP
Abrahan Gutierrez,PIT,A+,22,sa3004263,sa3004263-A+,2022-06-01,sa3004263-A+-2022-06-01-PIT
Livan Soto,LAA,AA,22,sa3004264,sa3004264-AA,2022-06-01,sa3004264-AA-2022-06-01-LAA
Davis Tavarez,BAL,AA,23,sa3004271,sa3004271-AA,2022-06-01,sa3004271-AA-2022-06-01-BAL
Davis Tavarez,BAL,A+,23,sa3004271,sa3004271-A+,2022-06-01,sa3004271-A+-2022-06-01-BAL
Davis Tavarez,BAL,A,23,sa3004271,sa3004271-A,2022-06-01,sa3004271-A-2022-06-01-BAL
Canaan Smith-Njigba,PIT,AAA,23,sa3004279,sa3004279-AAA,2022-06-01,sa3004279-AAA-2022-06-01-PIT
Obie Ricumstrict,TEX,A+,23,sa3004282,sa3004282-A+,2022-06-01,sa3004282-A+-2022-06-01-TEX
Dylan Rosa,DET,AA,26,sa3004285,sa3004285-AA,2022-06-01,sa3004285-AA-2022-06-01-DET
Dylan Rosa,DET,AAA,26,sa3004285,sa3004285-AAA,2022-06-01,sa3004285-AAA-2022-06-01-DET
Brent Diaz,MIL,AA,26,sa3004297,sa3004297-AA,2022-06-01,sa3004297-AA-2022-06-01-MIL
Drew Waters,ATL,AAA,23,sa3004378,sa3004378-AAA,2022-06-01,sa3004378-AAA-2022-06-01-ATL
Drew Waters,ATL,A+,23,sa3004378,sa3004378-A+,2022-06-01,sa3004378-A+-2022-06-01-ATL
Ulrich Bojarski,DET,AA,23,sa3004381,sa3004381-AA,2022-06-01,sa3004381-AA-2022-06-01-DET
Ulrich Bojarski,DET,A+,23,sa3004381,sa3004381-A+,2022-06-01,sa3004381-A+-2022-06-01-DET
Jose Sanchez,WSN,A+,21,sa3004382,sa3004382-A+,2022-06-01,sa3004382-A+-2022-06-01-WSN
Ricardo Mendez,WSN,A+,22,sa3004383,sa3004383-A+,2022-06-01,sa3004383-A+-2022-06-01-WSN
Israel Pineda,WSN,A+,22,sa3004385,sa3004385-A+,2022-06-01,sa3004385-A+-2022-06-01-WSN
Demetrius Sims,MIA,AAA,26,sa3004390,sa3004390-AAA,2022-06-01,sa3004390-AAA-2022-06-01-MIA
Robbie Hitt,MIL,AA,26,sa3004463,sa3004463-AA,2022-06-01,sa3004463-AA-2022-06-01-MIL
Austin Warner,SEA,AAA,28,sa3004494,sa3004494-AAA,2022-06-01,sa3004494-AAA-2022-06-01-SEA
Erik Ostberg,TBR,AA,26,sa3004505,sa3004505-AA,2022-06-01,sa3004505-AA-2022-06-01-TBR
Matt Winaker,NYM,AA,26,sa3004506,sa3004506-AA,2022-06-01,sa3004506-AA-2022-06-01-NYM
Cam Balego,CHC,AA,27,sa3004517,sa3004517-AA,2022-06-01,sa3004517-AA-2022-06-01-CHC
Davis Schneider,TOR,A+,23,sa3004518,sa3004518-A+,2022-06-01,sa3004518-A+-2022-06-01-TOR
Jeter Downs,BOS,AAA,23,sa3004615,sa3004615-AAA,2022-06-01,sa3004615-AAA-2022-06-01-BOS
Buddy Kennedy,ARI,AAA,23,sa3004617,sa3004617-AAA,2022-06-01,sa3004617-AAA-2022-06-01-ARI
Jacob Gonzalez,PIT,A+,24,sa3004691,sa3004691-A+,2022-06-01,sa3004691-A+-2022-06-01-PIT
Jacob Gonzalez,PIT,A,24,sa3004691,sa3004691-A,2022-06-01,sa3004691-A-2022-06-01-PIT
Mark Vientos,NYM,AAA,22,sa3004720,sa3004720-AAA,2022-06-01,sa3004720-AAA-2022-06-01-NYM
Jacob Pearson,ATL,AA,24,sa3004722,sa3004722-AA,2022-06-01,sa3004722-AA-2022-06-01-ATL
Jacob Pearson,ATL,A+,24,sa3004722,sa3004722-A+,2022-06-01,sa3004722-A+-2022-06-01-ATL
Chris Sharpe,PHI,AA,26,sa3004726,sa3004726-AA,2022-06-01,sa3004726-AA-2022-06-01-PHI
Tyler Esplin,BOS,A+,22,sa3004727,sa3004727-A+,2022-06-01,sa3004727-A+-2022-06-01-BOS
Tyler Esplin,BOS,AA,22,sa3004727,sa3004727-AA,2022-06-01,sa3004727-AA-2022-06-01-BOS
Bryce Johnson,SFG,AAA,26,sa3004753,sa3004753-AAA,2022-06-01,sa3004753-AAA-2022-06-01-SFG
Tyler Freeman,CLE,AAA,23,sa3004755,sa3004755-AAA,2022-06-01,sa3004755-AAA-2022-06-01-CLE
Shane Matheny,SFG,AA,26,sa3004780,sa3004780-AA,2022-06-01,sa3004780-AA-2022-06-01-SFG
Logan Warmoth,TOR,AAA,26,sa3004813,sa3004813-AAA,2022-06-01,sa3004813-AAA-2022-06-01-TOR
Jose Caballero,SEA,AA,25,sa3004817,sa3004817-AA,2022-06-01,sa3004817-AA-2022-06-01-SEA
Quincy Nieporte,DET,AA,27,sa3004819,sa3004819-AA,2022-06-01,sa3004819-AA-2022-06-01-DET
Jack Larsen,SEA,AA,27,sa3004840,sa3004840-AA,2022-06-01,sa3004840-AA-2022-06-01-SEA
Kevin Richards,OAK,A,22,sa3004880,sa3004880-A,2022-06-01,sa3004880-A-2022-06-01-OAK
Bryant Quijada,COL,A,22,sa3004882,sa3004882-A,2022-06-01,sa3004882-A-2022-06-01-COL
Micael Ramirez,CLE,A+,23,sa3004883,sa3004883-A+,2022-06-01,sa3004883-A+-2022-06-01-CLE
Justin Connell,WSN,AA,23,sa3004884,sa3004884-AA,2022-06-01,sa3004884-AA-2022-06-01-WSN
Mason Martin,PIT,AAA,23,sa3004885,sa3004885-AAA,2022-06-01,sa3004885-AAA-2022-06-01-PIT
Olivier Basabe,SDP,A+,24,sa3004933,sa3004933-A+,2022-06-01,sa3004933-A+-2022-06-01-SDP
Riley Delgado,ATL,AA,27,sa3004934,sa3004934-AA,2022-06-01,sa3004934-AA-2022-06-01-ATL
Jared Young,CHC,AAA,26,sa3004937,sa3004937-AAA,2022-06-01,sa3004937-AAA-2022-06-01-CHC
Francisco Hernandez,STL,A+,22,sa3004942,sa3004942-A+,2022-06-01,sa3004942-A+-2022-06-01-STL
Tristen Lutz,MIL,AA,23,sa3004968,sa3004968-AA,2022-06-01,sa3004968-AA-2022-06-01-MIL
Imanol Vargas,LAD,A+,24,sa3004972,sa3004972-A+,2022-06-01,sa3004972-A+-2022-06-01-LAD
Robbie Glendinning,KCR,AA,26,sa3004978,sa3004978-AA,2022-06-01,sa3004978-AA-2022-06-01-KCR
Eddy Diaz,COL,A+,22,sa3004979,sa3004979-A+,2022-06-01,sa3004979-A+-2022-06-01-COL
PK Morris,TOR,A+,23,sa3005037,sa3005037-A+,2022-06-01,sa3005037-A+-2022-06-01-TOR
J.D. Osborne,MIA,AA,26,sa3005053,sa3005053-AA,2022-06-01,sa3005053-AA-2022-06-01-MIA
Adam Hall,BAL,AA,23,sa3005077,sa3005077-AA,2022-06-01,sa3005077-AA-2022-06-01-BAL
Luis Santos,NYY,A,22,sa3005080,sa3005080-A,2022-06-01,sa3005080-A-2022-06-01-NYY
Jacob Amaya,LAD,AA,23,sa3005081,sa3005081-AA,2022-06-01,sa3005081-AA-2022-06-01-LAD
Wilyer Abreu,HOU,AA,23,sa3005082,sa3005082-AA,2022-06-01,sa3005082-AA-2022-06-01-HOU
Tyler Dearden,BOS,AA,23,sa3005103,sa3005103-AA,2022-06-01,sa3005103-AA-2022-06-01-BOS
Luis Vazquez,CHC,AA,22,sa3005131,sa3005131-AA,2022-06-01,sa3005131-AA-2022-06-01-CHC
Kevin Watson Jr,LAA,A,23,sa3005151,sa3005151-A,2022-06-01,sa3005151-A-2022-06-01-LAA
Jan Mercado,MIA,A,22,sa3005152,sa3005152-A,2022-06-01,sa3005152-A-2022-06-01-MIA
Jan Mercado,MIA,AA,22,sa3005152,sa3005152-AA,2022-06-01,sa3005152-AA-2022-06-01-MIA
D.J. Stewart,PHI,A+,23,sa3005181,sa3005181-A+,2022-06-01,sa3005181-A+-2022-06-01-PHI
LJ Hatch,COL,AAA,28,sa3005233,sa3005233-AAA,2022-06-01,sa3005233-AAA-2022-06-01-COL
Danny Lantigua,CIN,A,23,sa3005239,sa3005239-A,2022-06-01,sa3005239-A-2022-06-01-CIN
Walking Cabrera,SEA,A,21,sa3005240,sa3005240-A,2022-06-01,sa3005240-A-2022-06-01-SEA
Ezequiel Duran,TEX,AA,23,sa3005271,sa3005271-AA,2022-06-01,sa3005271-AA-2022-06-01-TEX
Diosbel Arias,TEX,AA,25,sa3005308,sa3005308-AA,2022-06-01,sa3005308-AA-2022-06-01-TEX
Braxton Martinez,LAA,AA,28,sa3005373,sa3005373-AA,2022-06-01,sa3005373-AA-2022-06-01-LAA
Lorenzo Quintana,MIA,AAA,33,sa3005394,sa3005394-AAA,2022-06-01,sa3005394-AAA-2022-06-01-MIA
Christian Donahue,CHC,AA,27,sa3005401,sa3005401-AA,2022-06-01,sa3005401-AA-2022-06-01-CHC
Jeferson Morales,MIN,A+,23,sa3005472,sa3005472-A+,2022-06-01,sa3005472-A+-2022-06-01-MIN
Carlos Rodriguez,MIL,A+,21,sa3005478,sa3005478-A+,2022-06-01,sa3005478-A+-2022-06-01-MIL
Wilfri Peralta,CLE,A,21,sa3005481,sa3005481-A,2022-06-01,sa3005481-A-2022-06-01-CLE
Jose Tena,CLE,AA,21,sa3005482,sa3005482-AA,2022-06-01,sa3005482-AA-2022-06-01-CLE
Roberto Chirinos,NYY,A,21,sa3005484,sa3005484-A,2022-06-01,sa3005484-A-2022-06-01-NYY
Miguel Hiraldo,TOR,A+,21,sa3005486,sa3005486-A+,2022-06-01,sa3005486-A+-2022-06-01-TOR
Keyber Rodriguez,TEX,A+,21,sa3005488,sa3005488-A+,2022-06-01,sa3005488-A+-2022-06-01-TEX
Antoni Flores,BOS,A+,21,sa3005489,sa3005489-A+,2022-06-01,sa3005489-A+-2022-06-01-BOS
Fabian Pertuz,CHC,A+,21,sa3005500,sa3005500-A+,2022-06-01,sa3005500-A+-2022-06-01-CHC
Allan Cerda,CIN,A+,22,sa3005504,sa3005504-A+,2022-06-01,sa3005504-A+-2022-06-01-CIN
Gilberto Jimenez,BOS,A+,21,sa3005507,sa3005507-A+,2022-06-01,sa3005507-A+-2022-06-01-BOS
Sebastian Almonte,CIN,A,22,sa3005509,sa3005509-A,2022-06-01,sa3005509-A-2022-06-01-CIN
Jorbit Vivas,LAD,A+,21,sa3005511,sa3005511-A+,2022-06-01,sa3005511-A+-2022-06-01-LAD
Hansen Lopez,OAK,A+,21,sa3005513,sa3005513-A+,2022-06-01,sa3005513-A+-2022-06-01-OAK
Alexfri Planez,CLE,A+,20,sa3005515,sa3005515-A+,2022-06-01,sa3005515-A+-2022-06-01-CLE
Joshwan Wright,OAK,A+,21,sa3005519,sa3005519-A+,2022-06-01,sa3005519-A+-2022-06-01-OAK
Derwin Barreto,TEX,A,21,sa3005522,sa3005522-A,2022-06-01,sa3005522-A-2022-06-01-TEX
Jorge Barrosa,ARI,A+,21,sa3005524,sa3005524-A+,2022-06-01,sa3005524-A+-2022-06-01-ARI
Jorge Barrosa,ARI,AA,21,sa3005524,sa3005524-AA,2022-06-01,sa3005524-AA-2022-06-01-ARI
Rainier Rivas,HOU,A,21,sa3005527,sa3005527-A,2022-06-01,sa3005527-A-2022-06-01-HOU
Randy Florentino,TEX,A+,21,sa3005529,sa3005529-A+,2022-06-01,sa3005529-A+-2022-06-01-TEX
Jesus Chirinos,MIL,A,20,sa3005538,sa3005538-A,2022-06-01,sa3005538-A-2022-06-01-MIL
Luis Toribio,SFG,A+,21,sa3005541,sa3005541-A+,2022-06-01,sa3005541-A+-2022-06-01-SFG
Skeiling Rodriguez,CLE,A,21,sa3005542,sa3005542-A,2022-06-01,sa3005542-A-2022-06-01-CLE
Neyfy Castillo,ARI,A+,21,sa3005544,sa3005544-A+,2022-06-01,sa3005544-A+-2022-06-01-ARI
Luis Silva,MIL,A,20,sa3005547,sa3005547-A,2022-06-01,sa3005547-A-2022-06-01-MIL
Rainer Nunez,TOR,A,21,sa3005551,sa3005551-A,2022-06-01,sa3005551-A-2022-06-01-TOR
Eddys Leonard,LAD,A+,21,sa3005554,sa3005554-A+,2022-06-01,sa3005554-A+-2022-06-01-LAD
Victor Planchart,CLE,A,21,sa3005555,sa3005555-A,2022-06-01,sa3005555-A-2022-06-01-CLE
Jose Rivas,TOR,A,21,sa3005561,sa3005561-A,2022-06-01,sa3005561-A-2022-06-01-TOR
Jhoan Paulino,OAK,A,21,sa3005563,sa3005563-A,2022-06-01,sa3005563-A-2022-06-01-OAK
Enrique Valdez,KCR,A,21,sa3005568,sa3005568-A,2022-06-01,sa3005568-A-2022-06-01-KCR
Yunior Garcia,LAD,A,20,sa3005570,sa3005570-A,2022-06-01,sa3005570-A-2022-06-01-LAD
Federico Polanco,MIA,A+,21,sa3005571,sa3005571-A+,2022-06-01,sa3005571-A+-2022-06-01-MIA
Josue Cruz,BAL,A,21,sa3005577,sa3005577-A,2022-06-01,sa3005577-A-2022-06-01-BAL
Jhonkensy Noel,CLE,A+,20,sa3005579,sa3005579-A+,2022-06-01,sa3005579-A+-2022-06-01-CLE
Ceddanne Rafaela,BOS,A+,21,sa3005581,sa3005581-A+,2022-06-01,sa3005581-A+-2022-06-01-BOS
Liover Peguero,PIT,AA,21,sa3005582,sa3005582-AA,2022-06-01,sa3005582-AA-2022-06-01-PIT
Alberis Ferrer,MIL,A,21,sa3005584,sa3005584-A,2022-06-01,sa3005584-A-2022-06-01-MIL
Jommer Hernandez,TOR,A,21,sa3005586,sa3005586-A,2022-06-01,sa3005586-A-2022-06-01-TOR
Daniel Vellojin,CIN,A,22,sa3005587,sa3005587-A,2022-06-01,sa3005587-A-2022-06-01-CIN
Raimfer Salinas,NYY,A,21,sa3005597,sa3005597-A,2022-06-01,sa3005597-A-2022-06-01-NYY
Julio Carreras,COL,A+,22,sa3005598,sa3005598-A+,2022-06-01,sa3005598-A+-2022-06-01-COL
Jose Guzman,LAA,A+,21,sa3005601,sa3005601-A+,2022-06-01,sa3005601-A+-2022-06-01-LAA
Danny Bautista,OAK,A,21,sa3005602,sa3005602-A,2022-06-01,sa3005602-A-2022-06-01-OAK
Alberto Rodriguez,SEA,A+,21,sa3005603,sa3005603-A+,2022-06-01,sa3005603-A+-2022-06-01-SEA
J.P. Martinez,TEX,AA,26,sa3005607,sa3005607-AA,2022-06-01,sa3005607-AA-2022-06-01-TEX
Felix Valerio,MIL,AA,21,sa3005613,sa3005613-AA,2022-06-01,sa3005613-AA-2022-06-01-MIL
Darlin Moquete,STL,A,22,sa3005617,sa3005617-A,2022-06-01,sa3005617-A-2022-06-01-STL
Ronaiker Palma,COL,A+,22,sa3005624,sa3005624-A+,2022-06-01,sa3005624-A+-2022-06-01-COL
Andy Pages,LAD,AA,21,sa3005625,sa3005625-AA,2022-06-01,sa3005625-AA-2022-06-01-LAD
Stanley Consuegra,NYM,A,21,sa3005628,sa3005628-A,2022-06-01,sa3005628-A-2022-06-01-NYM
Juan Batista,ARI,A,21,sa3005629,sa3005629-A,2022-06-01,sa3005629-A-2022-06-01-ARI
Heriberto Hernandez,TBR,A+,22,sa3005630,sa3005630-A+,2022-06-01,sa3005630-A+-2022-06-01-TBR
Dalvy Rosario,MIA,A+,21,sa3005712,sa3005712-A+,2022-06-01,sa3005712-A+-2022-06-01-MIA
Alvaro Gonzalez,DET,A,21,sa3005715,sa3005715-A,2022-06-01,sa3005715-A-2022-06-01-DET
Ynmanol Marinez,MIA,A+,21,sa3005716,sa3005716-A+,2022-06-01,sa3005716-A+-2022-06-01-MIA
Adanson Cruz,STL,A,21,sa3005722,sa3005722-A,2022-06-01,sa3005722-A-2022-06-01-STL
Luis Rodriguez,STL,A,22,sa3005727,sa3005727-A,2022-06-01,sa3005727-A-2022-06-01-STL
Luis Rodriguez,STL,A+,22,sa3005727,sa3005727-A+,2022-06-01,sa3005727-A+-2022-06-01-STL
Brandon Valenzuela,SDP,A+,21,sa3005729,sa3005729-A+,2022-06-01,sa3005729-A+-2022-06-01-SDP
Yeison Santana,CHC,A,21,sa3005730,sa3005730-A,2022-06-01,sa3005730-A-2022-06-01-CHC
Yeison Santana,CHC,A+,21,sa3005730,sa3005730-A+,2022-06-01,sa3005730-A+-2022-06-01-CHC
Andry Arias,WSN,A,22,sa3005735,sa3005735-A,2022-06-01,sa3005735-A-2022-06-01-WSN
Gary Camarillo,KCR,A,20,sa3005743,sa3005743-A,2022-06-01,sa3005743-A-2022-06-01-KCR
Junior Perez,OAK,A,20,sa3005744,sa3005744-A,2022-06-01,sa3005744-A-2022-06-01-OAK
Carlos Irigoyen,DET,A+,21,sa3005745,sa3005745-A+,2022-06-01,sa3005745-A+-2022-06-01-DET
Luis Baez,MIN,A,21,sa3005747,sa3005747-A,2022-06-01,sa3005747-A-2022-06-01-MIN
Herard Gonzalez,KCR,A+,21,sa3005750,sa3005750-A+,2022-06-01,sa3005750-A+-2022-06-01-KCR
Victor Mascai,HOU,A,21,sa3005754,sa3005754-A,2022-06-01,sa3005754-A-2022-06-01-HOU
Diego Hernandez,KCR,A+,21,sa3005759,sa3005759-A+,2022-06-01,sa3005759-A+-2022-06-01-KCR
Miguel Fabrizio,CHC,A,21,sa3005767,sa3005767-A,2022-06-01,sa3005767-A-2022-06-01-CHC
Viandel Pena,WSN,A,21,sa3005775,sa3005775-A,2022-06-01,sa3005775-A-2022-06-01-WSN
Alexander Ovalles,TBR,AAA,21,sa3005781,sa3005781-AAA,2022-06-01,sa3005781-AAA-2022-06-01-TBR
Alexander Ovalles,TBR,A+,21,sa3005781,sa3005781-A+,2022-06-01,sa3005781-A+-2022-06-01-TBR
Johan Rojas,PHI,A+,21,sa3005784,sa3005784-A+,2022-06-01,sa3005784-A+-2022-06-01-PHI
Jose Rodriguez,CHW,AA,21,sa3005788,sa3005788-AA,2022-06-01,sa3005788-AA-2022-06-01-CHW
Edgar Martinez,KCR,A,21,sa3005790,sa3005790-A,2022-06-01,sa3005790-A-2022-06-01-KCR
Pedro Martinez,TBR,A+,21,sa3005795,sa3005795-A+,2022-06-01,sa3005795-A+-2022-06-01-TBR
Brayan Rocchio,CLE,AA,21,sa3005898,sa3005898-AA,2022-06-01,sa3005898-AA-2022-06-01-CLE
Guillermo Quintana,KCR,A,21,sa3005916,sa3005916-A,2022-06-01,sa3005916-A-2022-06-01-KCR
Anthony Garcia,NYY,A,21,sa3005924,sa3005924-A,2022-06-01,sa3005924-A-2022-06-01-NYY
Francis Grullon,KCR,A,21,sa3005927,sa3005927-A,2022-06-01,sa3005927-A-2022-06-01-KCR
Richard Paz,CLE,A,21,sa3005928,sa3005928-A,2022-06-01,sa3005928-A-2022-06-01-CLE
Arturo Guerrero,SEA,AAA,21,sa3005936,sa3005936-AAA,2022-06-01,sa3005936-AAA-2022-06-01-SEA
Yoyner Fajardo,PIT,A+,23,sa3005938,sa3005938-A+,2022-06-01,sa3005938-A+-2022-06-01-PIT
Arturo De Freitas,PHI,A,21,sa3005939,sa3005939-A,2022-06-01,sa3005939-A-2022-06-01-PHI
Oneill Manzueta,TBR,A,21,sa3005942,sa3005942-A,2022-06-01,sa3005942-A-2022-06-01-TBR
Oswel Leones,MIL,A,21,sa3005945,sa3005945-A,2022-06-01,sa3005945-A-2022-06-01-MIL
Juan Loyo,NYM,AA,23,sa3005948,sa3005948-AA,2022-06-01,sa3005948-AA-2022-06-01-NYM
Juan Loyo,NYM,AAA,23,sa3005948,sa3005948-AAA,2022-06-01,sa3005948-AAA-2022-06-01-NYM
Jose Ferrer,TOR,A,23,sa3005952,sa3005952-A,2022-06-01,sa3005952-A-2022-06-01-TOR
Victor Nova,CLE,AA,22,sa3006075,sa3006075-AA,2022-06-01,sa3006075-AA-2022-06-01-CLE
Victor Nova,CLE,AAA,22,sa3006075,sa3006075-AAA,2022-06-01,sa3006075-AAA-2022-06-01-CLE
Freddy Pacheco,STL,AA,24,sa3006164,sa3006164-AA,2022-06-01,sa3006164-AA-2022-06-01-STL
Randy Romero,PIT,A,22,sa3006185,sa3006185-A,2022-06-01,sa3006185-A-2022-06-01-PIT
Jose Acosta,TEX,A,22,sa3006187,sa3006187-A,2022-06-01,sa3006187-A-2022-06-01-TEX
Brandol Mezquita,ATL,A,20,sa3006201,sa3006201-A,2022-06-01,sa3006201-A-2022-06-01-ATL
Madison Santos,NYY,A,22,sa3006206,sa3006206-A,2022-06-01,sa3006206-A-2022-06-01-NYY
Ryan Fitzgerald,BOS,AAA,28,sa3006218,sa3006218-AAA,2022-06-01,sa3006218-AAA-2022-06-01-BOS
Pablo Aliendo,CHC,A+,21,sa3006220,sa3006220-A+,2022-06-01,sa3006220-A+-2022-06-01-CHC
Junior Gonzalez,SEA,A,22,sa3006221,sa3006221-A,2022-06-01,sa3006221-A-2022-06-01-SEA
Rodolfo Bone,SFG,A+,22,sa3006424,sa3006424-A+,2022-06-01,sa3006424-A+-2022-06-01-SFG
Ramses Malave,ARI,A+,21,sa3006428,sa3006428-A+,2022-06-01,sa3006428-A+-2022-06-01-ARI
Ramses Malave,ARI,A,21,sa3006428,sa3006428-A,2022-06-01,sa3006428-A-2022-06-01-ARI
Angel Basabe,PIT,A,21,sa3006432,sa3006432-A,2022-06-01,sa3006432-A-2022-06-01-PIT
Jose Mujica,OAK,A,21,sa3006525,sa3006525-A,2022-06-01,sa3006525-A-2022-06-01-OAK
Sander Mora,STL,A,21,sa3006578,sa3006578-A,2022-06-01,sa3006578-A-2022-06-01-STL
Cesar Gonzalez,SFG,AAA,21,sa3006582,sa3006582-AAA,2022-06-01,sa3006582-AAA-2022-06-01-SFG
Osleivis Basabe,TBR,A+,21,sa3006594,sa3006594-A+,2022-06-01,sa3006594-A+-2022-06-01-TBR
Wilfredo Flores,PHI,A,22,sa3006606,sa3006606-A,2022-06-01,sa3006606-A-2022-06-01-PHI
Bladimir Restituyo,COL,A+,20,sa3006621,sa3006621-A+,2022-06-01,sa3006621-A+-2022-06-01-COL
Eduardo Valencia,DET,A,22,sa3006622,sa3006622-A,2022-06-01,sa3006622-A-2022-06-01-DET
Tyler Frank,TBR,AA,25,sa3006660,sa3006660-AA,2022-06-01,sa3006660-AA-2022-06-01-TBR
Orlando Martinez,LAA,AA,24,sa3006664,sa3006664-AA,2022-06-01,sa3006664-AA-2022-06-01-LAA
Orlando Martinez,LAA,AAA,24,sa3006664,sa3006664-AAA,2022-06-01,sa3006664-AAA-2022-06-01-LAA
Ross Adolph,HOU,AA,25,sa3006666,sa3006666-AA,2022-06-01,sa3006666-AA-2022-06-01-HOU
Robert Neustrom,BAL,AAA,25,sa3006667,sa3006667-AAA,2022-06-01,sa3006667-AAA-2022-06-01-BAL
Niko Decolati,COL,AA,24,sa3006670,sa3006670-AA,2022-06-01,sa3006670-AA-2022-06-01-COL
Devlin Granberg,BOS,AA,26,sa3006671,sa3006671-AA,2022-06-01,sa3006671-AA-2022-06-01-BOS
Jake Anchia,SEA,AA,25,sa3006674,sa3006674-AA,2022-06-01,sa3006674-AA-2022-06-01-SEA
Samil Polanco,CHW,A,22,sa3006676,sa3006676-A,2022-06-01,sa3006676-A-2022-06-01-CHW
Jacson McGowan,TBR,AA,25,sa3006677,sa3006677-AA,2022-06-01,sa3006677-AA-2022-06-01-TBR
Manny Rodriguez,NYM,AA,25,sa3006678,sa3006678-AA,2022-06-01,sa3006678-AA-2022-06-01-NYM
Manny Rodriguez,NYM,AAA,25,sa3006678,sa3006678-AAA,2022-06-01,sa3006678-AAA-2022-06-01-NYM
Ian Dawkins,CHW,AA,26,sa3006685,sa3006685-AA,2022-06-01,sa3006685-AA-2022-06-01-CHW
Gage Canning,WSN,A+,25,sa3006711,sa3006711-A+,2022-06-01,sa3006711-A+-2022-06-01-WSN
Daniel Amaral,PIT,AA,25,sa3006712,sa3006712-AA,2022-06-01,sa3006712-AA-2022-06-01-PIT
Cole Daily,WSN,A+,25,sa3006713,sa3006713-A+,2022-06-01,sa3006713-A+-2022-06-01-WSN
Coco Montes,COL,AAA,25,sa3006715,sa3006715-AAA,2022-06-01,sa3006715-AAA-2022-06-01-COL
